player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Ashertmarn,PALADIN,0,0,0,0
Assra,WARLOCK,0,0,0,0
Avatari,MAGE,40,0,40,0
Averias,PRIEST,920,0,1198,-203
Aviende,PALADIN,474,0,550,-66
Banktox,WARRIOR,0,0,0,0
Bh,DRUID,20,0,20,0
Bubblann,PRIEST,152,0,365,-169
Bubblewaffle,PALADIN,49,0,50,-1
Buzzbox,ROGUE,0,0,0,0
Carlosmanson,MAGE,0,0,0,0
Carpetlamp,MAGE,324,0,699,-313
Coilnova,MAGE,0,0,46,0
Colejones,PRIEST,253,0,295,-42
Consecratus,PALADIN,317,0,553,-216
Cptburcea,PALADIN,54,0,78,-24
Crownedclown,ROGUE,740,0,1098,-264
Crownedcrow,MAGE,0,0,0,0
Cruelmind,WARLOCK,702,0,1098,-86
Cudtastic,WARLOCK,56,0,135,-35
Daigonarthis,HUNTER,0,0,0,0
Darkdaemon,WARLOCK,532,0,774,-226
Darnella,ROGUE,552,0,1138,-562
Defrag,MAGE,97,0,543,-432
Defraz,PALADIN,0,0,0,0
Dijana,DRUID,965,0,1068,-79
Dotje,WARLOCK,0,0,0,0
Enlightened,PALADIN,0,0,0,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,234,0,240,-4
Estroguen,ROGUE,0,0,46,0
Everyone,HUNTER,0,0,0,0
Farmerman,MAGE,0,0,0,0
Fizzlerick,MAGE,0,0,0,0
Fizzlewick,WARLOCK,0,0,0,0
Fredrick,WARLOCK,0,0,44,0
Frostiee,MAGE,0,0,44,0
Furguard,DRUID,514,0,525,-1
Galisa,PRIEST,250,0,403,-109
Gustu,MAGE,234,0,1138,-889
Gzeh,PRIEST,601,0,929,-304
Haoni,MAGE,519,0,1009,-476
He,MAGE,0,0,0,0
Hellblazer,HUNTER,265,0,265,0
Hense,HUNTER,626,0,1026,-321
Hepburn,WARLOCK,80,0,80,0
Himmel,DRUID,0,0,0,0
Himmelbank,WARLOCK,0,0,0,0
Himmelfallen,PALADIN,774,0,1073,-270
Hubba,WARRIOR,757,0,1095,-299
Ibirowg,ROGUE,0,0,46,0
Ignutz,WARLOCK,0,0,0,0
Inheritbank,PRIEST,0,0,0,0
Joeman,WARRIOR,30,0,30,0
Jonescole,WARLOCK,0,0,0,0
Kinkygnome,ROGUE,0,0,0,0
Kolth,ROGUE,611,0,1038,-386
Krasniymag,MAGE,0,0,46,0
Krissie,WARRIOR,585,0,595,0
Kru,MAGE,733,0,1148,-391
Kutta,ROGUE,0,0,0,0
Legendasn,WARLOCK,0,0,0,0
Legendsn,MAGE,427,0,809,-348
Lepa,WARLOCK,0,0,46,0
Liaza,PALADIN,40,0,40,0
Malkokote,WARRIOR,0,0,44,0
Markoboi,WARRIOR,0,0,0,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,802,0,1032,-180
Mcinherit,PALADIN,0,0,0,0
Mcinherita,PALADIN,0,0,44,0
Meharus,WARLOCK,0,0,0,0
Mengloð,DRUID,525,0,689,-139
Menom,DRUID,206,0,256,-6
Merell,WARRIOR,0,0,0,0
Microbank,MAGE,0,0,0,0
Moongrace,HUNTER,411,0,741,-304
Naaldlooshii,WARLOCK,441,0,495,-44
Nensi,PRIEST,20,0,20,0
Neragoul,WARRIOR,0,0,0,0
Nugged,MAGE,0,0,46,0
Nuru,PRIEST,0,0,0,0
Nuug,DRUID,0,0,0,0
Nuuh,ROGUE,480,0,929,-400
Nykurin,PRIEST,0,0,0,0
Oathbringer,PALADIN,0,0,0,0
Orymo,PRIEST,586,0,711,-99
Ozzyian,WARRIOR,698,0,1088,-361
Paavi,PRIEST,20,0,20,0
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,420,0,541,-41
Perfolion,PRIEST,0,0,46,0
Piu,MAGE,40,0,40,0
Powerranger,PALADIN,226,0,554,-240
Pyrotype,WARLOCK,0,0,44,0
Qnt,MAGE,39,0,40,-1
Ragnvald,WARRIOR,30,0,30,0
Ravenheart,HUNTER,0,0,0,0
Resetho,WARLOCK,0,0,0,0
Reshepir,WARLOCK,0,0,0,0
Ribbit,PALADIN,848,0,1238,-266
Ribbiti,MAGE,0,0,0,0
Ripulisukka,MAGE,0,0,44,0
Rupi,WARRIOR,296,0,345,-49
Saarge,WARRIOR,505,0,515,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Sansloes,ROGUE,0,0,0,0
Sanslos,WARRIOR,393,0,405,-2
Shiverra,WARLOCK,407,0,469,-17
Skoggs,PALADIN,0,0,46,0
Slayhra,PRIEST,0,0,0,0
Slayra,ROGUE,112,0,493,-324
Slayrah,WARRIOR,0,0,0,0
Spaceout,ROGUE,22,0,254,-3
Starac,HUNTER,150,0,465,-127
Sturdysock,WARRIOR,0,0,0,0
Synkou,HUNTER,684,0,856,-142
Taria,MAGE,0,0,46,0
Thrandur,WARRIOR,91,0,102,-1
Tinykrissie,MAGE,0,0,0,0
Tinyslayer,ROGUE,0,0,44,0
Tommo,PRIEST,252,0,253,-1
Tomte,PRIEST,613,0,1058,-420
Toxxy,WARRIOR,0,0,44,0
Trubikal,WARLOCK,0,0,0,0
Tyrandela,DRUID,0,0,46,0
Uniquespirit,PRIEST,0,0,0,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Viggi,ROGUE,145,0,443,-284
Vindizle,ROGUE,461,0,1503,-504
Wariu,WARRIOR,515,0,1113,-485
Waynejones,MAGE,0,0,0,0
Weirdy,MAGE,456,0,1082,-500
Wiedzmín,HUNTER,465,0,465,0
Xedulus,WARLOCK,84,0,433,-304
Zacoo,WARRIOR,460,0,1069,-585
Zarpe,HUNTER,0,0,46,0
