player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Aramithis,WARRIOR,0,0,46,0
Arcatir,WARLOCK,0,0,46,0
Averias,PRIEST,442,0,603,-97
Banktox,WARRIOR,0,0,0,0
Barinade,WARRIOR,0,0,0,0
Broccoli,WARLOCK,0,0,46,0
Bubblann,PRIEST,152,0,365,-169
Buzzbox,ROGUE,0,0,0,0
Carpetlamp,MAGE,87,0,134,-3
Chaostone,WARLOCK,0,0,46,0
Choomah,WARRIOR,0,0,0,0
Coilnova,MAGE,0,0,46,0
Consecratus,PALADIN,267,0,503,-216
Crownedclown,ROGUE,207,0,553,-262
Crownedcrow,MAGE,0,0,0,0
Cruelmind,WARLOCK,204,0,553,-40
Cudtastic,WARLOCK,56,0,135,-35
Cudtonic,WARRIOR,0,0,0,0
Daigonarthis,HUNTER,0,0,0,0
Darkdaemon,WARLOCK,278,0,514,-220
Darkzera,PRIEST,0,0,46,0
Darnella,ROGUE,235,0,553,-304
Deathu,MAGE,10,0,354,-300
Defrag,MAGE,97,0,543,-432
Defraz,PALADIN,0,0,0,0
Dijana,DRUID,371,0,463,-78
Dira,WARRIOR,0,0,44,0
Dviper,WARRIOR,0,0,46,0
Eithné,HUNTER,19,0,265,-195
Elbossos,HUNTER,0,0,46,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,60,0,60,0
Estroguen,ROGUE,0,0,46,0
Eury,PRIEST,0,0,46,0
Everyone,HUNTER,0,0,0,0
Farmerman,MAGE,0,0,0,0
Fredrick,WARLOCK,0,0,44,0
Frosthound,MAGE,0,0,46,0
Frostiee,MAGE,0,0,44,0
Galisa,PRIEST,250,0,403,-109
Gnomesommar,WARRIOR,0,0,46,0
Gorgeousddm,MAGE,0,0,46,0
Grindr,WARLOCK,39,0,84,-1
Gustu,MAGE,116,0,553,-422
Gwenlock,WARLOCK,0,0,44,0
Gzeh,PRIEST,59,0,324,-251
Haoni,MAGE,147,0,464,-303
He,MAGE,0,0,0,0
Hense,HUNTER,154,0,553,-320
Hepburn,WARLOCK,20,0,20,0
Himmel,DRUID,0,0,0,0
Himmelbank,WARLOCK,0,0,0,0
Himmelfallen,PALADIN,236,0,518,-263
Hubba,WARRIOR,253,0,570,-288
Ibirowg,ROGUE,0,0,46,0
Ignutz,WARLOCK,0,0,0,0
Jonescole,WARLOCK,0,0,0,0
Joyy,PRIEST,0,0,46,0
Justdrama,WARRIOR,0,0,46,0
Kembe,MAGE,0,0,46,0
Kinkygnome,ROGUE,0,0,0,0
Kolth,ROGUE,267,0,503,-195
Krasniymag,MAGE,0,0,46,0
Kru,MAGE,170,0,553,-369
Kutta,ROGUE,0,0,0,0
Laxheus,ROGUE,0,0,46,0
Legendsn,MAGE,92,0,284,-178
Lepa,WARLOCK,0,0,46,0
Leptir,MAGE,0,0,0,0
Liaza,PALADIN,0,0,0,0
Ligmas,WARLOCK,0,0,0,0
Lilth,MAGE,0,0,46,0
Littlebubble,MAGE,0,0,0,0
Lullek,HUNTER,0,0,46,0
Malkokote,WARRIOR,0,0,44,0
Markoboi,WARRIOR,0,0,0,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,340,0,467,-77
Mcinherita,PALADIN,0,0,44,0
Mengloð,DRUID,95,0,114,-5
Menom,DRUID,206,0,256,-6
Merell,WARRIOR,0,0,0,0
Microbank,MAGE,0,0,0,0
Moongrace,HUNTER,154,0,186,-16
Moralez,PRIEST,30,0,44,0
Necrofml,PALADIN,0,0,46,0
Nellx,HUNTER,0,0,46,0
Nensi,PRIEST,0,0,0,0
Neymad,MAGE,39,0,276,-186
Nickot,WARLOCK,0,0,46,0
Nuada,HUNTER,0,0,46,0
Nugged,MAGE,0,0,46,0
Nuru,PRIEST,0,0,0,0
Nuug,DRUID,0,0,0,0
Nuuh,ROGUE,131,0,374,-205
Orymo,PRIEST,139,0,156,-1
Ozzyian,WARRIOR,272,0,543,-252
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,0,0,46,0
Perfolion,PRIEST,0,0,46,0
Petergodlike,PALADIN,435,0,464,-15
Powerranger,PALADIN,126,0,454,-240
Pyrotype,WARLOCK,0,0,44,0
Raixx,WARRIOR,0,0,46,0
Ravenheart,HUNTER,0,0,0,0
Reptil,WARRIOR,0,0,0,0
Reshepir,WARLOCK,0,0,0,0
Ribbit,PALADIN,269,0,633,-250
Ripulisukka,MAGE,0,0,44,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Shiverra,WARLOCK,0,0,44,0
Skoggs,PALADIN,0,0,46,0
Slayhra,PRIEST,0,0,0,0
Slayra,ROGUE,112,0,493,-324
Slayrah,WARRIOR,0,0,0,0
Sljoker,ROGUE,0,0,46,0
Spaceout,ROGUE,0,0,44,0
Splclv,MAGE,0,0,0,0
Srbcrazy,PALADIN,0,0,46,0
Starac,HUNTER,110,0,425,-127
Syda,WARRIOR,0,0,46,0
Synkou,HUNTER,320,0,481,-141
Taria,MAGE,0,0,46,0
Tinykrissie,MAGE,0,0,0,0
Tinyslayer,ROGUE,0,0,44,0
Tomte,PRIEST,308,0,513,-190
Toxxy,WARRIOR,0,0,44,0
Tyrandela,DRUID,0,0,46,0
Uhljeb,MAGE,0,0,0,0
Uniquespirit,PRIEST,0,0,0,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Viggi,ROGUE,95,0,393,-284
Vindizle,ROGUE,360,0,923,-40
Wariu,WARRIOR,376,0,508,-29
Weirdy,MAGE,307,0,557,-134
Wotafak,WARLOCK,0,0,46,0
Xedulus,WARLOCK,84,0,433,-304
Yaeji,HUNTER,0,0,46,0
Zacoo,WARRIOR,300,0,324,-10
Zaldivar,PALADIN,123,0,265,-43
Zarpe,HUNTER,0,0,46,0
Krissie,WARRIOR,0,0,0,0
Saarge,WARRIOR,0,0,0,0
Furguard,DRUID,0,0,0,0
Inheritbank,PRIEST,0,0,0,0
Mcinherit,PALADIN,0,0,0,0
Fizzlewick,WARLOCK,0,0,0,0
Fizzlerick,MAGE,0,0,0,0
Ragnvald,WARRIOR,0,0,0,0
Thrandur,WARRIOR,0,0,0,0
