player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Ashertmarn,PALADIN,0,0,0,0
Assra,WARLOCK,0,0,0,0
Averias,PRIEST,727,0,893,-101
Aviende,PALADIN,179,0,245,-66
Banktox,WARRIOR,0,0,0,0
Bh,DRUID,0,0,0,0
Bubblann,PRIEST,152,0,365,-169
Bubblewaffle,PALADIN,0,0,0,0
Buzzbox,ROGUE,0,0,0,0
Carlosmanson,MAGE,0,0,0,0
Carpetlamp,MAGE,242,0,394,-100
Coilnova,MAGE,0,0,46,0
Consecratus,PALADIN,317,0,553,-216
Cptburcea,PALADIN,27,0,28,-1
Crownedclown,ROGUE,496,0,843,-263
Crownedcrow,MAGE,0,0,0,0
Cruelmind,WARLOCK,407,0,793,-76
Cudtastic,WARLOCK,56,0,135,-35
Daigonarthis,HUNTER,0,0,0,0
Darkdaemon,WARLOCK,532,0,774,-226
Darnella,ROGUE,412,0,833,-407
Defrag,MAGE,97,0,543,-432
Defraz,PALADIN,0,0,0,0
Dijana,DRUID,670,0,763,-79
Dotje,WARLOCK,0,0,0,0
Enlightened,PALADIN,0,0,0,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,135,0,140,-3
Estroguen,ROGUE,0,0,46,0
Everyone,HUNTER,0,0,0,0
Farmerman,MAGE,0,0,0,0
Fizzlerick,MAGE,0,0,0,0
Fizzlewick,WARLOCK,0,0,0,0
Fredrick,WARLOCK,0,0,44,0
Frostiee,MAGE,0,0,44,0
Furguard,DRUID,299,0,300,-1
Galisa,PRIEST,250,0,403,-109
Gustu,MAGE,30,0,833,-788
Gzeh,PRIEST,308,0,624,-302
Haoni,MAGE,220,0,704,-470
He,MAGE,0,0,0,0
Hense,HUNTER,353,0,753,-321
Hepburn,WARLOCK,60,0,60,0
Himmel,DRUID,0,0,0,0
Himmelbank,WARLOCK,0,0,0,0
Himmelfallen,PALADIN,483,0,768,-266
Hubba,WARRIOR,504,0,830,-297
Ibirowg,ROGUE,0,0,46,0
Ignutz,WARLOCK,0,0,0,0
Inheritbank,PRIEST,0,0,0,0
Joeman,WARRIOR,30,0,30,0
Jonescole,WARLOCK,0,0,0,0
Kinkygnome,ROGUE,0,0,0,0
Kolth,ROGUE,317,0,743,-385
Krasniymag,MAGE,0,0,46,0
Krissie,WARRIOR,300,0,300,0
Kru,MAGE,440,0,843,-389
Kutta,ROGUE,0,0,0,0
Legendsn,MAGE,182,0,504,-308
Lepa,WARLOCK,0,0,46,0
Liaza,PALADIN,0,0,0,0
Malkokote,WARRIOR,0,0,44,0
Markoboi,WARRIOR,0,0,0,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,500,0,727,-177
Mcinherit,PALADIN,0,0,0,0
Mcinherita,PALADIN,0,0,44,0
Meharus,WARLOCK,0,0,0,0
Mengloð,DRUID,356,0,384,-13
Menom,DRUID,206,0,256,-6
Merell,WARRIOR,0,0,0,0
Microbank,MAGE,0,0,0,0
Moongrace,HUNTER,386,0,476,-74
Naaldlooshii,WARLOCK,157,0,190,-33
Nensi,PRIEST,0,0,0,0
Nugged,MAGE,0,0,46,0
Nuru,PRIEST,0,0,0,0
Nuug,DRUID,0,0,0,0
Nuuh,ROGUE,287,0,664,-338
Nykurin,PRIEST,0,0,0,0
Oathbringer,PALADIN,0,0,0,0
Orymo,PRIEST,294,0,406,-96
Ozzyian,WARRIOR,427,0,783,-337
Paavi,PRIEST,20,0,20,0
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,135,0,236,-37
Perfolion,PRIEST,0,0,46,0
Powerranger,PALADIN,226,0,554,-240
Pyrotype,WARLOCK,0,0,44,0
Ragnvald,WARRIOR,30,0,30,0
Ravenheart,HUNTER,0,0,0,0
Resetho,WARLOCK,0,0,0,0
Reshepir,WARLOCK,0,0,0,0
Ribbit,PALADIN,568,0,933,-251
Ribbiti,MAGE,0,0,0,0
Ripulisukka,MAGE,0,0,44,0
Rupi,WARRIOR,138,0,140,-2
Saarge,WARRIOR,250,0,250,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Sansloes,ROGUE,0,0,0,0
Sanslos,WARRIOR,100,0,100,0
Shiverra,WARLOCK,146,0,204,-13
Skoggs,PALADIN,0,0,46,0
Slayhra,PRIEST,0,0,0,0
Slayra,ROGUE,112,0,493,-324
Slayrah,WARRIOR,0,0,0,0
Spaceout,ROGUE,2,0,234,-3
Starac,HUNTER,110,0,425,-127
Sturdysock,WARRIOR,0,0,0,0
Synkou,HUNTER,440,0,601,-141
Taria,MAGE,0,0,46,0
Thrandur,WARRIOR,59,0,60,-1
Tinykrissie,MAGE,0,0,0,0
Tinyslayer,ROGUE,0,0,44,0
Tomte,PRIEST,330,0,753,-408
Toxxy,WARRIOR,0,0,44,0
Trubikal,WARLOCK,0,0,0,0
Tyrandela,DRUID,0,0,46,0
Uniquespirit,PRIEST,0,0,0,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Viggi,ROGUE,145,0,443,-284
Vindizle,ROGUE,168,0,1198,-502
Wariu,WARRIOR,220,0,808,-485
Weirdy,MAGE,165,0,777,-496
Wiedzmín,HUNTER,210,0,210,0
Xedulus,WARLOCK,84,0,433,-304
Zacoo,WARRIOR,415,0,764,-335
Zarpe,HUNTER,0,0,46,0
