player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Ashertmarn,PALADIN,0,0,0,0
Assra,WARLOCK,0,0,0,0
Avatari,MAGE,140,0,140,0
Averias,PRIEST,1020,0,1298,-203
Aviende,PALADIN,567,0,650,-73
Banktox,WARRIOR,0,0,0,0
Bh,DRUID,20,0,20,0
Bubblann,PRIEST,152,0,365,-169
Bubblewaffle,PALADIN,49,0,50,-1
Buzzbox,ROGUE,0,0,0,0
Carlosmanson,MAGE,0,0,0,0
Carpetlamp,MAGE,323,0,799,-414
Coilnova,MAGE,0,0,46,0
Colejones,PRIEST,313,0,355,-42
Consecratus,PALADIN,317,0,553,-216
Cptburcea,PALADIN,54,0,78,-24
Crownedclown,ROGUE,840,0,1198,-264
Crownedcrow,MAGE,0,0,0,0
Cruelmind,WARLOCK,801,0,1198,-87
Cudtastic,WARLOCK,56,0,135,-35
Daigonarthis,HUNTER,0,0,0,0
Darkdaemon,WARLOCK,532,0,774,-226
Darnella,ROGUE,652,0,1238,-562
Defrag,MAGE,97,0,543,-432
Defraz,PALADIN,0,0,0,0
Dijana,DRUID,1065,0,1168,-79
Dotje,WARLOCK,0,0,0,0
Enlightened,PALADIN,0,0,0,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,273,0,280,-5
Estroguen,ROGUE,0,0,46,0
Everyone,HUNTER,0,0,0,0
Farmerman,MAGE,0,0,0,0
Fizzlerick,MAGE,0,0,0,0
Fizzlewick,WARLOCK,0,0,0,0
Fredrick,WARLOCK,0,0,44,0
Frostiee,MAGE,0,0,44,0
Furguard,DRUID,614,0,625,-1
Galisa,PRIEST,250,0,403,-109
Gustu,MAGE,334,0,1238,-889
Gzeh,PRIEST,691,0,1029,-314
Haoni,MAGE,164,0,1109,-931
He,MAGE,0,0,0,0
Hellblazer,HUNTER,364,0,365,-1
Hense,HUNTER,676,0,1076,-321
Hepburn,WARLOCK,80,0,80,0
Himmel,DRUID,0,0,0,0
Himmelbank,WARLOCK,0,0,0,0
Himmelfallen,PALADIN,829,0,1133,-275
Hubba,WARRIOR,847,0,1195,-309
Ibirowg,ROGUE,0,0,46,0
Ignutz,WARLOCK,0,0,0,0
Inheritbank,PRIEST,0,0,0,0
Joeman,WARRIOR,30,0,30,0
Jonescole,WARLOCK,0,0,0,0
Kinkygnome,ROGUE,0,0,0,0
Kolth,ROGUE,601,0,1138,-496
Krasniymag,MAGE,0,0,46,0
Krissie,WARRIOR,685,0,695,0
Kru,MAGE,833,0,1248,-391
Kutta,ROGUE,0,0,0,0
Legendasn,WARLOCK,0,0,0,0
Legendsn,MAGE,526,0,909,-349
Lepa,WARLOCK,0,0,46,0
Liaza,PALADIN,40,0,40,0
Malkokote,WARRIOR,0,0,44,0
Markoboi,WARRIOR,0,0,0,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,842,0,1072,-180
Mcinherit,PALADIN,0,0,0,0
Mcinherita,PALADIN,0,0,44,0
Meharus,WARLOCK,0,0,0,0
Mengloð,DRUID,624,0,789,-140
Menom,DRUID,206,0,256,-6
Merell,WARRIOR,0,0,0,0
Microbank,MAGE,0,0,0,0
Moongrace,HUNTER,76,0,841,-739
Naaldlooshii,WARLOCK,72,0,595,-513
Nensi,PRIEST,20,0,20,0
Neragoul,WARRIOR,0,0,0,0
Nugged,MAGE,0,0,46,0
Nuru,PRIEST,0,0,0,0
Nuug,DRUID,0,0,0,0
Nuuh,ROGUE,540,0,989,-400
Nykurin,PRIEST,0,0,0,0
Oathbringer,PALADIN,0,0,0,0
Orymo,PRIEST,646,0,771,-99
Ozzyian,WARRIOR,798,0,1188,-361
Paavi,PRIEST,20,0,20,0
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,515,0,641,-46
Perfolion,PRIEST,0,0,46,0
Piu,MAGE,139,0,140,-1
Powerranger,PALADIN,226,0,554,-240
Pyrotype,WARLOCK,0,0,44,0
Qnt,MAGE,131,0,140,-9
Ragnvald,WARRIOR,30,0,30,0
Ravenheart,HUNTER,0,0,0,0
Resetho,WARLOCK,0,0,0,0
Reshepir,WARLOCK,0,0,0,0
Ribbit,PALADIN,948,0,1338,-266
Ribbiti,MAGE,0,0,0,0
Ripulisukka,MAGE,0,0,44,0
Rupi,WARRIOR,392,0,445,-53
Saarge,WARRIOR,605,0,615,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Sansloes,ROGUE,0,0,0,0
Sanslos,WARRIOR,493,0,505,-2
Shiverra,WARLOCK,467,0,529,-17
Skoggs,PALADIN,0,0,46,0
Slayhra,PRIEST,0,0,0,0
Slayra,ROGUE,112,0,493,-324
Slayrah,WARRIOR,0,0,0,0
Spaceout,ROGUE,22,0,254,-3
Starac,HUNTER,150,0,465,-127
Sturdysock,WARRIOR,0,0,0,0
Synkou,HUNTER,744,0,916,-142
Taria,MAGE,0,0,46,0
Thrandur,WARRIOR,138,0,152,-4
Tinykrissie,MAGE,0,0,0,0
Tinyslayer,ROGUE,0,0,44,0
Tommo,PRIEST,349,0,353,-4
Tomte,PRIEST,713,0,1158,-420
Toxxy,WARRIOR,0,0,44,0
Trubikal,WARLOCK,0,0,0,0
Tyrandela,DRUID,0,0,46,0
Uniquespirit,PRIEST,0,0,0,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Viggi,ROGUE,145,0,443,-284
Vindizle,ROGUE,561,0,1603,-504
Wariu,WARRIOR,615,0,1213,-485
Waynejones,MAGE,0,0,0,0
Weirdy,MAGE,516,0,1182,-540
Wiedzmín,HUNTER,420,0,525,-105
Xedulus,WARLOCK,84,0,433,-304
Zacoo,WARRIOR,560,0,1169,-585
Zarpe,HUNTER,0,0,46,0
