player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Aramithis,WARRIOR,0,0,46,0
Arcatir,WARLOCK,0,0,46,0
Averias,PRIEST,500,0,663,-99
Broccoli,WARLOCK,0,0,46,0
Bubblann,PRIEST,152,0,365,-169
Carpetlamp,MAGE,128,0,194,-22
Chaostone,WARLOCK,0,0,46,0
Coilnova,MAGE,0,0,46,0
Consecratus,PALADIN,317,0,553,-216
Crownedclown,ROGUE,267,0,613,-262
Cruelmind,WARLOCK,223,0,573,-40
Cudtastic,WARLOCK,56,0,135,-35
Darkdaemon,WARLOCK,338,0,574,-220
Darkzera,PRIEST,0,0,46,0
Darnella,ROGUE,285,0,603,-304
Deathu,MAGE,10,0,354,-300
Defrag,MAGE,97,0,543,-432
Dijana,DRUID,431,0,523,-78
Dira,WARRIOR,0,0,44,0
Dviper,WARRIOR,0,0,46,0
Eithné,HUNTER,19,0,265,-195
Elbossos,HUNTER,0,0,46,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,77,0,80,-3
Estroguen,ROGUE,0,0,46,0
Eury,PRIEST,0,0,46,0
Fredrick,WARLOCK,0,0,44,0
Frosthound,MAGE,0,0,46,0
Frostiee,MAGE,0,0,44,0
Furguard,DRUID,60,0,60,0
Galisa,PRIEST,250,0,403,-109
Gnomesommar,WARRIOR,0,0,46,0
Gorgeousddm,MAGE,0,0,46,0
Grindr,WARLOCK,39,0,84,-1
Gustu,MAGE,176,0,613,-422
Gwenlock,WARLOCK,0,0,44,0
Gzeh,PRIEST,69,0,384,-301
Haoni,MAGE,187,0,524,-323
Hense,HUNTER,204,0,603,-320
Hepburn,WARLOCK,40,0,40,0
Himmelfallen,PALADIN,256,0,538,-263
Hubba,WARRIOR,306,0,630,-295
Ibirowg,ROGUE,0,0,46,0
Joyy,PRIEST,0,0,46,0
Justdrama,WARRIOR,0,0,46,0
Kembe,MAGE,0,0,46,0
Kolth,ROGUE,326,0,563,-196
Krasniymag,MAGE,0,0,46,0
Krissie,WARRIOR,60,0,60,0
Kru,MAGE,210,0,613,-389
Laxheus,ROGUE,0,0,46,0
Legendsn,MAGE,122,0,314,-178
Lepa,WARLOCK,0,0,46,0
Lilth,MAGE,0,0,46,0
Lullek,HUNTER,0,0,46,0
Malkokote,WARRIOR,0,0,44,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,290,0,517,-177
Mcinherita,PALADIN,0,0,44,0
Mengloð,DRUID,143,0,164,-7
Menom,DRUID,206,0,256,-6
Moongrace,HUNTER,203,0,236,-17
Moralez,PRIEST,30,0,44,0
Necrofml,PALADIN,0,0,46,0
Nellx,HUNTER,0,0,46,0
Neymad,MAGE,39,0,276,-186
Nickot,WARLOCK,0,0,46,0
Nuada,HUNTER,0,0,46,0
Nugged,MAGE,0,0,46,0
Nuuh,ROGUE,180,0,424,-205
Orymo,PRIEST,196,0,216,-4
Ozzyian,WARRIOR,288,0,603,-296
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,0,0,46,0
Perfolion,PRIEST,0,0,46,0
Petergodlike,PALADIN,495,0,524,-15
Powerranger,PALADIN,176,0,504,-240
Pyrotype,WARLOCK,0,0,44,0
Raixx,WARRIOR,0,0,46,0
Ribbit,PALADIN,329,0,693,-250
Ripulisukka,MAGE,0,0,44,0
Saarge,WARRIOR,10,0,10,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Shiverra,WARLOCK,0,0,44,0
Skoggs,PALADIN,0,0,46,0
Slayra,ROGUE,112,0,493,-324
Sljoker,ROGUE,0,0,46,0
Spaceout,ROGUE,20,0,64,0
Srbcrazy,PALADIN,0,0,46,0
Starac,HUNTER,110,0,425,-127
Syda,WARRIOR,0,0,46,0
Synkou,HUNTER,370,0,531,-141
Taria,MAGE,0,0,46,0
Tinyslayer,ROGUE,0,0,44,0
Tomte,PRIEST,358,0,563,-190
Toxxy,WARRIOR,0,0,44,0
Tyrandela,DRUID,0,0,46,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Viggi,ROGUE,95,0,393,-284
Vindizle,ROGUE,420,0,988,-40
Wariu,WARRIOR,110,0,568,-355
Weirdy,MAGE,327,0,577,-134
Wotafak,WARLOCK,0,0,46,0
Xedulus,WARLOCK,84,0,433,-304
Yaeji,HUNTER,0,0,46,0
Zacoo,WARRIOR,340,0,374,-20
Zaldivar,PALADIN,123,0,265,-43
Zarpe,HUNTER,0,0,46,0
