player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Akizeta,DRUID,0,0,0,0
Ashertmarn,PALADIN,0,0,0,0
Assra,WARLOCK,0,0,0,0
Avatari,MAGE,186,0,372,-186
Averias,PRIEST,163,0,1570,-1332
Aviende,PALADIN,585,0,922,-327
Banktox,WARRIOR,0,0,0,0
Bh,DRUID,20,0,20,0
Bubblann,PRIEST,152,0,365,-169
Bubblewaffle,PALADIN,49,0,50,-1
Buzzbox,ROGUE,0,0,0,0
Carlosmanson,MAGE,0,0,0,0
Carpetlamp,MAGE,554,0,1031,-415
Cllicky,ROGUE,0,0,0,0
Clownedcrown,WARRIOR,0,0,0,0
Coilnova,MAGE,0,0,46,0
Colejones,PRIEST,533,0,577,-44
Consecratus,PALADIN,317,0,553,-216
Cptburcea,PALADIN,54,0,78,-24
Crownedclown,ROGUE,1110,0,1470,-266
Crownedcrow,MAGE,0,0,10,0
Cruelmind,WARLOCK,919,0,1470,-241
Cudtastic,WARLOCK,56,0,135,-35
Cydriel,HUNTER,0,0,0,0
Daigonarthis,HUNTER,0,0,0,0
Darkdaemon,WARLOCK,532,0,774,-226
Darnella,ROGUE,891,0,1510,-595
Defrag,MAGE,97,0,543,-432
Defraq,ROGUE,0,0,0,0
Defraz,PALADIN,0,0,0,0
Dijana,DRUID,1337,0,1440,-79
Dotje,WARLOCK,0,0,0,0
Enlightened,PALADIN,0,0,0,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,381,0,390,-7
Estroguen,ROGUE,0,0,46,0
Everyone,HUNTER,0,0,0,0
Farmerman,MAGE,0,0,0,0
Fizzlerick,MAGE,0,0,0,0
Fizzlewick,WARLOCK,0,0,0,0
Fredrick,WARLOCK,0,0,44,0
Frostiee,MAGE,0,0,44,0
Furguard,DRUID,766,0,777,-1
Galisa,PRIEST,250,0,403,-109
Gustu,MAGE,606,0,1510,-889
Gzeh,PRIEST,628,0,1301,-649
Hadroval,WARRIOR,0,0,0,0
Haoni,MAGE,435,0,1381,-932
He,MAGE,0,0,0,0
Hellblazer,HUNTER,515,0,637,-122
Hense,HUNTER,448,0,1436,-909
Hepburn,WARLOCK,80,0,90,0
Himmel,DRUID,0,0,0,0
Himmelbank,WARLOCK,0,0,0,0
Himmelfallen,PALADIN,678,0,1405,-697
Hubba,WARRIOR,659,0,1427,-729
Ibirowg,ROGUE,0,0,46,0
Ignutz,WARLOCK,0,0,0,0
Inheritbank,PRIEST,0,0,0,0
Joeman,WARRIOR,30,0,30,0
Jonescole,WARLOCK,0,0,0,0
Joneswayne,WARLOCK,0,0,0,0
Kallurin,MAGE,0,0,0,0
Kinkygnome,ROGUE,0,0,0,0
Kolth,ROGUE,835,0,1398,-522
Krasniymag,MAGE,0,0,46,0
Krissie,WARRIOR,907,0,917,0
Kru,MAGE,304,0,1520,-1192
Kutta,ROGUE,0,0,10,0
Legendasn,WARLOCK,360,0,1236,-344
Legendsn,MAGE,0,0,1569,-429
Lepa,WARLOCK,0,0,46,0
Liaza,PALADIN,40,0,40,0
Malkokote,WARRIOR,0,0,44,0
Markoboi,WARRIOR,0,0,0,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,1038,0,1324,-236
Mcinherit,PALADIN,0,0,0,0
Mcinherita,PALADIN,0,0,44,0
Meharus,WARLOCK,0,0,0,0
Mengloð,DRUID,844,0,1011,-142
Menom,DRUID,206,0,256,-6
Merell,WARRIOR,0,0,0,0
Microbank,MAGE,0,0,0,0
Moongrace,HUNTER,277,0,1047,-744
Naaldlooshii,WARLOCK,226,0,867,-631
Nensi,PRIEST,20,0,20,0
Neragoul,WARRIOR,0,0,0,0
Nugged,MAGE,0,0,46,0
Nuru,PRIEST,0,0,10,0
Nuug,DRUID,0,0,0,0
Nuuh,ROGUE,696,0,1261,-516
Nykurin,PRIEST,0,0,0,0
Oathbringer,PALADIN,0,0,0,0
Orymo,PRIEST,665,0,791,-100
Ozzyian,WARRIOR,652,0,1460,-779
Paavi,PRIEST,20,0,20,0
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,775,0,903,-48
Perfolion,PRIEST,0,0,46,0
Piu,MAGE,360,0,412,-52
Powerranger,PALADIN,226,0,554,-240
Pyrotype,WARLOCK,0,0,44,0
Qnt,MAGE,377,0,392,-15
Ragnvald,WARRIOR,30,0,30,0
Rahaukko,WARRIOR,0,0,0,0
Ravenheart,HUNTER,0,0,0,0
Resetho,WARLOCK,0,0,0,0
Reshepir,WARLOCK,0,0,0,0
Ribbit,PALADIN,1212,0,1610,-274
Ribbiti,MAGE,0,0,20,0
Ripulisukka,MAGE,0,0,44,0
Rupi,WARRIOR,520,0,585,-64
Saarge,WARRIOR,807,0,817,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Sansloes,ROGUE,80,0,80,0
Sanslos,WARRIOR,555,0,687,-122
Shiverra,WARLOCK,467,0,529,-17
Skoggs,PALADIN,0,0,46,0
Slayhra,PRIEST,0,0,0,0
Slayra,ROGUE,112,0,493,-324
Slayrah,WARRIOR,0,0,0,0
Snootles,PRIEST,0,0,0,0
Spaceout,ROGUE,22,0,254,-3
Starac,HUNTER,150,0,465,-127
Sturdysock,WARRIOR,0,0,20,0
Swoly,PALADIN,0,0,0,0
Synkou,HUNTER,744,0,916,-142
Taria,MAGE,0,0,46,0
Thrandur,WARRIOR,0,0,162,-4
Tinykitty,MAGE,10,0,10,0
Tinykrissie,MAGE,0,0,0,0
Tinyslayer,ROGUE,0,0,44,0
Tommo,PRIEST,518,0,625,-107
Tomte,PRIEST,885,0,1430,-520
Toxxy,WARRIOR,0,0,44,0
Trubikal,WARLOCK,0,0,0,0
Twentytwenty,MAGE,0,0,0,0
Tyrandela,DRUID,0,0,46,0
Uniquespirit,PRIEST,0,0,0,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Velesa,ROGUE,0,0,10,0
Viggi,ROGUE,145,0,443,-284
Vindizle,ROGUE,832,0,1875,-505
Wariu,WARRIOR,843,0,1485,-529
Waynejones,MAGE,0,0,0,0
Weirdy,MAGE,738,0,1404,-540
Wiedzmín,HUNTER,530,0,777,-247
Xedulus,WARLOCK,84,0,433,-304
Xfiles,ROGUE,0,0,0,0
Zacoo,WARRIOR,402,0,1431,-586
Zarpe,HUNTER,0,0,46,0
Zizzix,WARLOCK,0,0,0,0
