player, class, DKP, previousDKP, lifetimeGained, lifetimeSpent
Aramithis,WARRIOR,0,0,46,0
Arcatir,WARLOCK,0,0,46,0
Averias,PRIEST,452,0,613,-97
Broccoli,WARLOCK,0,0,46,0
Bubblann,PRIEST,152,0,365,-169
Carpetlamp,MAGE,87,0,134,-3
Chaostone,WARLOCK,0,0,46,0
Coilnova,MAGE,0,0,46,0
Consecratus,PALADIN,267,0,503,-216
Crownedclown,ROGUE,207,0,553,-262
Cruelmind,WARLOCK,213,0,563,-40
Cudtastic,WARLOCK,56,0,135,-35
Darkdaemon,WARLOCK,278,0,514,-220
Darkzera,PRIEST,0,0,46,0
Darnella,ROGUE,235,0,553,-304
Deathu,MAGE,10,0,354,-300
Defrag,MAGE,97,0,543,-432
Dijana,DRUID,381,0,473,-78
Dira,WARRIOR,0,0,44,0
Dviper,WARRIOR,0,0,46,0
Eithné,HUNTER,19,0,265,-195
Elbossos,HUNTER,0,0,46,0
Enoxy,WARRIOR,0,0,46,0
Ephieria,PALADIN,67,0,70,-3
Estroguen,ROGUE,0,0,46,0
Eury,PRIEST,0,0,46,0
Fredrick,WARLOCK,0,0,44,0
Frosthound,MAGE,0,0,46,0
Frostiee,MAGE,0,0,44,0
Furguard,DRUID,0,0,0,0
Galisa,PRIEST,250,0,403,-109
Gnomesommar,WARRIOR,0,0,46,0
Gorgeousddm,MAGE,0,0,46,0
Grindr,WARLOCK,39,0,84,-1
Gustu,MAGE,126,0,563,-422
Gwenlock,WARLOCK,0,0,44,0
Gzeh,PRIEST,59,0,324,-251
Haoni,MAGE,157,0,474,-303
Hense,HUNTER,154,0,553,-320
Hepburn,WARLOCK,30,0,30,0
Himmelfallen,PALADIN,246,0,528,-263
Hubba,WARRIOR,263,0,580,-288
Ibirowg,ROGUE,0,0,46,0
Joyy,PRIEST,0,0,46,0
Justdrama,WARRIOR,0,0,46,0
Kembe,MAGE,0,0,46,0
Kolth,ROGUE,267,0,503,-195
Krasniymag,MAGE,0,0,46,0
Krissie,WARRIOR,10,0,10,0
Kru,MAGE,170,0,553,-369
Laxheus,ROGUE,0,0,46,0
Legendsn,MAGE,102,0,294,-178
Lepa,WARLOCK,0,0,46,0
Lilth,MAGE,0,0,46,0
Lullek,HUNTER,0,0,46,0
Malkokote,WARRIOR,0,0,44,0
Markovich,MAGE,165,0,457,-35
Mashie,WARRIOR,350,0,477,-77
Mcinherita,PALADIN,0,0,44,0
Mengloð,DRUID,95,0,114,-5
Menom,DRUID,206,0,256,-6
Moongrace,HUNTER,154,0,186,-16
Moralez,PRIEST,30,0,44,0
Necrofml,PALADIN,0,0,46,0
Nellx,HUNTER,0,0,46,0
Neymad,MAGE,39,0,276,-186
Nickot,WARLOCK,0,0,46,0
Nuada,HUNTER,0,0,46,0
Nugged,MAGE,0,0,46,0
Nuuh,ROGUE,131,0,374,-205
Orymo,PRIEST,149,0,166,-1
Ozzyian,WARRIOR,278,0,553,-256
Pallukka,PALADIN,0,0,44,0
Papucs,MAGE,0,0,46,0
Perfolion,PRIEST,0,0,46,0
Petergodlike,PALADIN,445,0,474,-15
Powerranger,PALADIN,126,0,454,-240
Pyrotype,WARLOCK,0,0,44,0
Raixx,WARRIOR,0,0,46,0
Ribbit,PALADIN,269,0,633,-250
Ripulisukka,MAGE,0,0,44,0
Saarge,WARRIOR,0,0,0,0
Samse,WARRIOR,100,0,144,0
Sankou,ROGUE,0,0,46,0
Shiverra,WARLOCK,0,0,44,0
Skoggs,PALADIN,0,0,46,0
Slayra,ROGUE,112,0,493,-324
Sljoker,ROGUE,0,0,46,0
Spaceout,ROGUE,10,0,54,0
Srbcrazy,PALADIN,0,0,46,0
Starac,HUNTER,110,0,425,-127
Syda,WARRIOR,0,0,46,0
Synkou,HUNTER,320,0,481,-141
Taria,MAGE,0,0,46,0
Tinyslayer,ROGUE,0,0,44,0
Tomte,PRIEST,308,0,513,-190
Toxxy,WARRIOR,0,0,44,0
Tyrandela,DRUID,0,0,46,0
Vaneliini,WARLOCK,0,0,46,0
Vattasmurffi,HUNTER,0,0,44,0
Viggi,ROGUE,95,0,393,-284
Vindizle,ROGUE,370,0,933,-40
Wariu,WARRIOR,376,0,508,-29
Weirdy,MAGE,317,0,567,-134
Wotafak,WARLOCK,0,0,46,0
Xedulus,WARLOCK,84,0,433,-304
Yaeji,HUNTER,0,0,46,0
Zacoo,WARRIOR,310,0,334,-10
Zaldivar,PALADIN,123,0,265,-43
Zarpe,HUNTER,0,0,46,0
